method,metric,n_trajectories,resamples,seed,confidence_level,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,q25,q75,iqr
predicted_p,position_mae,120,10000,20271742,0.95,0.1460663721257226,0.10894278716285473,0.18969390116683132,0.06188735918110828,0.044286112326897206,0.11913114326367892,0.021331508475944644,0.18684624784396442,0.16551473936801978
raw_predicted_pv,position_mae,120,10000,20271743,0.95,0.14454134399857219,0.10790072746361876,0.18726277212213197,0.06155851418547929,0.04434300414093442,0.11528883133426866,0.021337458455031284,0.18218483808862002,0.16084737963358872
scalar_projected_pva,position_mae,120,10000,20271744,0.95,0.03934431963948162,0.023642320688907037,0.06011553766194437,0.010813001486862489,0.009807295786230033,0.013550144849712734,0.004576155511017442,0.01930056847041929,0.014724412959401849
deployed_p_only,position_p95_abs_error,120,10000,20272721,0.95,0.3277183713698881,0.2491112157714523,0.4201093683926697,0.15294352461974053,0.10432505027263336,0.2633989758791572,0.04408872907268305,0.4272300671658363,0.3831413380931532
estimator_rank_2::local_poly_w7_d3_lag1::deployed_p_only,position_p95_abs_error,120,10000,20272722,0.95,0.3277183713698881,0.2481546463229859,0.4192114728521614,0.15294352461974053,0.10432505027263336,0.2633989758791572,0.04408872907268305,0.4272300671658363,0.3831413380931532
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_direct,position_p95_abs_error,120,10000,20272723,0.95,0.047917351306400936,0.03230666318402025,0.06655258483896866,0.02061946988366859,0.017373169211988566,0.02275115807885515,0.010393661046979719,0.03637914535987172,0.025985484312892
estimator_rank_2::local_poly_w7_d3_lag1::jerk_qp_pva_ruckig,position_p95_abs_error,120,10000,20272724,0.95,0.04791735142631588,0.03269801724224824,0.06687288132527405,0.020619469721264057,0.017373171948263173,0.02275115807842132,0.01039366275982748,0.03637914536018967,0.02598548260036219
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_direct,position_p95_abs_error,120,10000,20272725,0.95,0.06667769939332834,0.037031301757522075,0.10746974497707919,0.020830993070214656,0.01877582930330036,0.025826126517611046,0.009525153032658919,0.03638661183987488,0.02686145880721596
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,position_p95_abs_error,120,10000,20272726,0.95,0.06667769934144925,0.03632852532827919,0.10765446321860173,0.020830993306344435,0.01883376973239757,0.025826126754449123,0.009525153128981757,0.03638661171430319,0.026861458585321435
estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,position_p95_abs_error,120,10000,20272727,0.95,0.32804168630696406,0.24977940253688505,0.4205961032827391,0.1529436858440832,0.10432509574574793,0.26346736056470765,0.044088689029113864,0.42723027599854124,0.38314158696942735
estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,position_p95_abs_error,120,10000,20272728,0.95,0.32502179016861665,0.24451707739349654,0.4162218358529738,0.14647615225024602,0.09889459168675842,0.26347647460207896,0.04375530775219601,0.4272131767083402,0.3834578689561442
