max_velocity_limit,max_acceleration_limit,max_jerk_limit,dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
4.1,6.0,1600.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.0692366855859802,0.03421096206595642,0.35874627652079666,110.0,0.049379658254413546,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,98.65852833482323,373.5558498044711,596.7524145737542,737.8012508995843,0.28837209302325584,1.9170701342816174,6.000000000000001,1200.0,1.084,1.902059999999994,2.068719999999994
4.1,6.0,3200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.07177087728195149,0.03538794082602262,0.3722199290469353,120.0,0.05095032305810789,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,96.11635230755499,372.1505446274598,567.51012500962,714.6649500496746,0.29819121447028424,1.8807705912289974,6.000000000000001,1200.0,1.084,8.373839999999982,4.581659999999964
4.1,6.0,6400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06807136190604374,0.033763101986508365,0.322844538164767,110.0,0.04926565995813727,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,91.51193147226051,365.61705546236317,602.3809046716945,756.9916948054856,0.3157622739018088,1.9922681479298456,6.000000000000001,1200.0,1.083,3.25,2.0134399999999877
4.1,6.0,12800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06451747363689521,0.0314801933050802,0.3219786513171601,100.0,0.045843940095884286,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,91.825422413222,367.83902847665837,594.5317396686153,755.7186752971262,0.3183462532299742,1.9946996108306183,6.0,1200.0,1.084,2.7631199999999883,1.8610599999999942
4.1,6.0,19200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06545654352510903,0.032077368726564484,0.32175165829719654,100.0,0.04697846738571848,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,89.28074230237696,367.4554995840293,596.3455456422729,755.3413026602983,0.3183462532299742,1.995733300571513,6.0,1200.0,1.083,1.458,1.375
4.1,6.0,25600.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06568037572500847,0.0320968656690419,0.32153988261716326,110.0,0.04710194128462037,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,90.41625841291491,368.24969988956565,597.4708297104569,755.0791433849851,0.32041343669250644,1.995897688197863,6.0,1200.0,1.083,1.458,1.208
4.1,6.0,38400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06608528865449566,0.03232376420599288,0.3210866004048005,110.0,0.047638831688787256,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,89.19254160442556,369.29207942567285,598.3796990568529,754.6363404498163,0.3209302325581395,1.9951961237984954,6.000000000000001,1200.0,1.083,1.9297799999999878,1.417
4.1,6.0,51200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06602293509224334,0.03221617888803739,0.3209165827572755,110.0,0.04749345773872505,0.37423887587822013,2.0964315433158127,5.9999999399999995,1199.9999879999998,89.41085663705931,369.06267226031525,598.7231688884011,754.4574199233257,0.3219638242894057,1.9950488328422769,6.0,1200.0,1.083,1.417,1.208
4.1,8.2,20.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.5192214537289761,0.38865185370553124,1.395453857619162,690.0000000000001,0.4237837206058583,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,1281.690125342337,2022.0148790925273,2395.5407360971394,2564.5256076977194,0.007235142118863049,2.5276385227838394,8.2,20.000000000000018,1.083,1.4166599999999998,1.0
4.1,8.2,41.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.18661739053420792,0.11478865668924305,0.6902964834379169,390.0,0.11903599811985535,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,547.413194517897,921.7172842056003,1241.8051430698922,1824.0349827618854,0.011886304909560724,2.1612482874269494,8.2,41.000000000000014,1.083,1.417,1.2086599999999998
