method,total_compute_us
deployed_p_only,150.375
deployed_p_only,150.375
deployed_p_only,150.375
deployed_p_only,150.375
deployed_p_only,150.375
deployed_p_only,150.375
deployed_p_only,150.416
deployed_p_only,150.416
deployed_p_only,150.417
deployed_p_only,150.417
deployed_p_only,150.417
deployed_p_only,150.417
deployed_p_only,150.458
deployed_p_only,150.458
deployed_p_only,150.458
deployed_p_only,150.458
deployed_p_only,150.459
deployed_p_only,150.459
deployed_p_only,150.459
deployed_p_only,150.459
deployed_p_only,150.5
deployed_p_only,150.5
deployed_p_only,150.5
deployed_p_only,150.5
deployed_p_only,150.5
deployed_p_only,150.5
deployed_p_only,150.5
deployed_p_only,150.5
deployed_p_only,150.5
deployed_p_only,150.541
deployed_p_only,150.541
deployed_p_only,150.541
deployed_p_only,150.541
deployed_p_only,150.542
deployed_p_only,150.542
deployed_p_only,150.542
deployed_p_only,150.542
deployed_p_only,150.583
deployed_p_only,150.583
deployed_p_only,150.583
deployed_p_only,150.583
deployed_p_only,150.583
deployed_p_only,150.583
deployed_p_only,150.583
deployed_p_only,150.584
deployed_p_only,150.625
deployed_p_only,150.625
deployed_p_only,150.625
deployed_p_only,150.666
deployed_p_only,150.666
deployed_p_only,150.666
deployed_p_only,150.667
deployed_p_only,150.667
deployed_p_only,150.667
deployed_p_only,150.667
deployed_p_only,150.667
deployed_p_only,150.667
deployed_p_only,150.667
deployed_p_only,150.708
deployed_p_only,150.708
deployed_p_only,150.708
deployed_p_only,150.708
deployed_p_only,150.708
deployed_p_only,150.708
deployed_p_only,150.709
deployed_p_only,150.709
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.75
deployed_p_only,150.791
deployed_p_only,150.791
deployed_p_only,150.791
deployed_p_only,150.791
deployed_p_only,150.792
deployed_p_only,150.792
deployed_p_only,150.792
deployed_p_only,150.792
deployed_p_only,150.792
deployed_p_only,150.833
deployed_p_only,150.833
deployed_p_only,150.833
deployed_p_only,150.833
deployed_p_only,150.834
deployed_p_only,150.834
deployed_p_only,150.834
deployed_p_only,150.875
deployed_p_only,150.875
deployed_p_only,150.875
deployed_p_only,150.875
deployed_p_only,150.875
deployed_p_only,150.875
deployed_p_only,150.875
deployed_p_only,150.875
deployed_p_only,150.875
deployed_p_only,150.916
deployed_p_only,150.916
deployed_p_only,150.916
deployed_p_only,150.917
deployed_p_only,150.917
deployed_p_only,150.917
deployed_p_only,150.917
deployed_p_only,150.917
deployed_p_only,150.958
deployed_p_only,150.958
deployed_p_only,150.958
deployed_p_only,150.958
deployed_p_only,150.959
deployed_p_only,150.959
deployed_p_only,151.0
deployed_p_only,151.0
deployed_p_only,151.0
deployed_p_only,151.0
deployed_p_only,151.0
deployed_p_only,151.041
deployed_p_only,151.041
deployed_p_only,151.042
deployed_p_only,151.042
deployed_p_only,151.042
deployed_p_only,151.042
deployed_p_only,151.083
deployed_p_only,151.083
deployed_p_only,151.083
deployed_p_only,151.083
deployed_p_only,151.083
deployed_p_only,151.083
deployed_p_only,151.084
deployed_p_only,151.084
deployed_p_only,151.084
deployed_p_only,151.125
deployed_p_only,151.125
deployed_p_only,151.125
deployed_p_only,151.125
deployed_p_only,151.125
deployed_p_only,151.125
deployed_p_only,151.166
deployed_p_only,151.167
deployed_p_only,151.167
deployed_p_only,151.167
deployed_p_only,151.167
deployed_p_only,151.167
deployed_p_only,151.208
deployed_p_only,151.208
deployed_p_only,151.208
deployed_p_only,151.208
deployed_p_only,151.25
deployed_p_only,151.25
deployed_p_only,151.25
deployed_p_only,151.291
deployed_p_only,151.292
deployed_p_only,151.292
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.333
deployed_p_only,151.334
deployed_p_only,151.375
deployed_p_only,151.375
deployed_p_only,151.375
deployed_p_only,151.375
deployed_p_only,151.375
deployed_p_only,151.375
deployed_p_only,151.416
deployed_p_only,151.417
deployed_p_only,151.417
deployed_p_only,151.417
deployed_p_only,151.417
