run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,response_sample_count,response_start_time_s,response_end_time_s,joint_index,joint_id,frequency_hz,gain,phase_rad,phase_delay_s,group_delay_s
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,one_step_governed_pva_direct,278,1,command_p,277,0.01,2.77,0,joint_0,1.3777899378173297,0.47572150780006456,-6.392462747468193,0.7384231927271117,-0.7672638442392272
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,one_step_governed_pva_direct,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,0.4599831735375878,0.570196625328101,0.03533266720731775,-0.012225161619321748,-0.5962379684450855
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,one_step_governed_pva_direct,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,0.6323604173767177,0.41988609240010616,0.49735691799737497,-0.12517673435128435,-0.256930833931078
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__008,test,120808,clean,one_step_governed_pva_direct,323,1,command_p,322,0.01,3.2199999999999998,0,joint_0,1.1210317393139106,1.2671993996110316,-0.19047427953766857,0.02704198467997046,0.7049691377404841
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,one_step_governed_pva_direct,324,1,command_p,323,0.01,3.23,0,joint_0,0.5552966753942606,0.9046786251997264,-0.2730676800850012,0.07826459802466419,-0.005422037668894453
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,one_step_governed_pva_direct,324,1,command_p,323,0.01,3.23,0,joint_0,0.6331842666386539,0.9160815886178721,-0.2644567934210433,0.06647291811375818,-0.029768809937954256
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__011,test,120811,clean,one_step_governed_pva_direct,324,1,command_p,323,0.01,3.23,0,joint_0,0.9913415985872082,0.9915309561924659,-0.07149495827946581,0.011478158520274001,-0.14172470507000748
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,one_step_governed_pva_direct,307,1,command_p,306,0.01,3.06,0,joint_0,0.4057980571309708,2.6520887349587947,-0.47618127233559054,0.18675940401443866,-1.2388402310594147
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,one_step_governed_pva_direct,307,1,command_p,306,0.01,3.06,0,joint_0,0.7343096839069067,0.907942749778482,0.5294807590741625,-0.11476013720852042,0.2644084585860058
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__014,test,120814,clean,one_step_governed_pva_direct,307,1,command_p,306,0.01,3.06,0,joint_0,0.8724157210993015,1.0289904066069278,0.025849101352349843,-0.004715655799423177,0.8963730605061373
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,one_step_governed_pva_direct,256,1,command_p,255,0.01,2.55,0,joint_0,0.28757489185499024,1.4167768702237429,-0.9932434252763728,0.5496988968910819,-1.1906293601313074
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,one_step_governed_pva_direct,256,1,command_p,255,0.01,2.55,0,joint_0,0.8281948683327309,1.2175533514023749,0.40451216403363616,-0.07773546167505087,0.36764937066666903
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,one_step_governed_pva_direct,256,1,command_p,255,0.01,2.55,0,joint_0,0.8306539417994366,1.2124109425843461,0.3987769240962565,-0.07640644974658424,0.37473738451624783
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,one_step_governed_pva_direct,413,1,command_p,412,0.01,4.12,0,joint_0,0.27832834428920694,1.1426782965618263,-0.08597666954406913,0.04916355890185073,3.17027106527377
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,one_step_governed_pva_direct,413,1,command_p,412,0.01,4.12,0,joint_0,0.5143739466655641,1.2878142622516793,-2.283265209549442,0.7064761869166304,-0.20720520833445377
