run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,event_id,event_type,event_time_s,joint_index,joint_id,lag_samples,lag_s,lag_aligned_rmse,window_before_s,window_after_s,max_lag_s
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,reversal-j0-k306,reversal,3.045,0,joint_0,1,0.009999999999999787,0.00022261359844859513,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k333,stop,3.33,0,joint_0,2,0.020000000000000018,0.00025640830220633083,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,reversal-j0-k335,reversal,3.335,0,joint_0,1,0.009999999999999787,0.00022503881064616133,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k362,stop,3.62,0,joint_0,2,0.020000000000000018,0.0002557403798210791,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,reversal-j0-k364,reversal,3.625,0,joint_0,1,0.009999999999999787,0.00022755329646763462,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k33,stop,0.33,0,joint_0,3,0.030000000000000013,0.0008373849853949962,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,reversal-j0-k35,reversal,0.335,0,joint_0,2,0.020000000000000018,0.0007755110081760544,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k61,stop,0.61,0,joint_0,3,0.030000000000000027,0.0008059384453266851,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k88,stop,0.88,0,joint_0,3,0.030000000000000027,0.0008735594451391009,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k115,stop,1.1500000000000001,0,joint_0,3,0.030000000000000027,0.0008202856006566625,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k143,stop,1.43,0,joint_0,2,0.020000000000000018,0.0008442733971700052,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k170,stop,1.7,0,joint_0,3,0.030000000000000027,0.0008598763251937216,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k198,stop,1.98,0,joint_0,2,0.020000000000000018,0.0007961695601713001,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k225,stop,2.25,0,joint_0,2,0.020000000000000018,0.000862809862394298,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k252,stop,2.52,0,joint_0,3,0.029999999999999805,0.0008451726585897981,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k280,stop,2.8000000000000003,0,joint_0,2,0.020000000000000018,0.0006507368602427359,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k307,stop,3.0700000000000003,0,joint_0,2,0.020000000000000018,0.000719194155308119,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k334,stop,3.34,0,joint_0,3,0.029999999999999805,0.0008281000395325699,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,reversal-j0-k336,reversal,3.3449999999999998,0,joint_0,2,0.020000000000000018,0.0007853188534627185,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k362,stop,3.62,0,joint_0,2,0.020000000000000018,0.0008356753842382306,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k389,stop,3.89,0,joint_0,3,0.029999999999999805,0.0008663534689158299,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__006,test,150806,clean,deployed_p_only,435,1,command_p,stop-j0-k417,stop,4.17,0,joint_0,2,0.019999999999999574,0.0007868399635337941,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__007,test,150807,clean,deployed_p_only,259,1,command_p,stop-j0-k38,stop,0.38,0,joint_0,4,0.03999999999999998,0.0013229065347964194,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__007,test,150807,clean,deployed_p_only,259,1,command_p,reversal-j0-k40,reversal,0.385,0,joint_0,3,0.030000000000000027,0.0013759938720695729,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__007,test,150807,clean,deployed_p_only,259,1,command_p,stop-j0-k66,stop,0.66,0,joint_0,3,0.030000000000000027,0.001496059047176184,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__007,test,150807,clean,deployed_p_only,259,1,command_p,stop-j0-k94,stop,0.9400000000000001,0,joint_0,3,0.030000000000000027,0.0014927260917694156,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__007,test,150807,clean,deployed_p_only,259,1,command_p,stop-j0-k122,stop,1.22,0,joint_0,3,0.030000000000000027,0.0014893069827575098,0.1,0.1,0.05
