method,governor_position_distortion_rmse,one_step_reachable_rate
one_step_governed_pva_direct,0.0009052749403251848,1.0
one_step_governed_pva_direct,0.0011127429382726158,1.0
one_step_governed_pva_direct,0.0011424368229005308,1.0
one_step_governed_pva_direct,0.0011967162285436846,1.0
one_step_governed_pva_direct,0.0012067900948601127,1.0
one_step_governed_pva_direct,0.0012199834706864347,1.0
one_step_governed_pva_direct,0.0012410046274573842,1.0
one_step_governed_pva_direct,0.0012558845202011077,1.0
one_step_governed_pva_direct,0.0014899296048434725,1.0
one_step_governed_pva_direct,0.0015057515147470482,1.0
one_step_governed_pva_direct,0.0016545398715256754,1.0
one_step_governed_pva_direct,0.0017641283914262393,1.0
one_step_governed_pva_direct,0.0018070877818311874,1.0
one_step_governed_pva_direct,0.0018099689435208532,1.0
one_step_governed_pva_direct,0.0018247422696805542,1.0
one_step_governed_pva_direct,0.0019214377553591869,1.0
one_step_governed_pva_direct,0.002014000579632104,1.0
one_step_governed_pva_direct,0.002159378770747032,1.0
one_step_governed_pva_direct,0.0021594632447070037,1.0
one_step_governed_pva_direct,0.0021665663282429627,1.0
one_step_governed_pva_direct,0.002345891212438246,1.0
one_step_governed_pva_direct,0.0025515920656583157,1.0
one_step_governed_pva_direct,0.00272024381137455,1.0
one_step_governed_pva_direct,0.0028368218029627443,1.0
one_step_governed_pva_direct,0.002840281304529025,1.0
one_step_governed_pva_direct,0.0029406549740588817,1.0
one_step_governed_pva_direct,0.0030027772785769903,1.0
one_step_governed_pva_direct,0.003291266794713022,1.0
one_step_governed_pva_direct,0.0033655875476483756,1.0
one_step_governed_pva_direct,0.003397908736606056,1.0
one_step_governed_pva_direct,0.003761497157098056,1.0
one_step_governed_pva_direct,0.003812509996547386,1.0
one_step_governed_pva_direct,0.0038293245758548714,1.0
one_step_governed_pva_direct,0.003935900345822621,1.0
one_step_governed_pva_direct,0.004029979405766245,1.0
one_step_governed_pva_direct,0.004097491874457841,1.0
one_step_governed_pva_direct,0.004225585935826581,1.0
one_step_governed_pva_direct,0.00429828036588167,1.0
one_step_governed_pva_direct,0.004321290428985715,1.0
one_step_governed_pva_direct,0.004382515308189326,1.0
one_step_governed_pva_direct,0.004481939822788379,1.0
one_step_governed_pva_direct,0.004492737365715415,1.0
one_step_governed_pva_direct,0.004666191927855171,1.0
one_step_governed_pva_direct,0.004817031596355359,1.0
one_step_governed_pva_direct,0.0048757246509634235,1.0
one_step_governed_pva_direct,0.0048821938350384125,1.0
one_step_governed_pva_direct,0.004938249773554839,1.0
one_step_governed_pva_direct,0.0051507206054199365,1.0
one_step_governed_pva_direct,0.0051717364850521665,1.0
one_step_governed_pva_direct,0.005226976927936492,1.0
one_step_governed_pva_direct,0.005229980118712092,1.0
one_step_governed_pva_direct,0.005254036252993223,1.0
one_step_governed_pva_direct,0.005458096150112558,1.0
one_step_governed_pva_direct,0.00561929758178513,1.0
one_step_governed_pva_direct,0.006052059879477109,1.0
one_step_governed_pva_direct,0.007091139516703119,1.0
one_step_governed_pva_direct,0.007430222443515852,1.0
one_step_governed_pva_direct,0.007669652094723557,1.0
one_step_governed_pva_direct,0.007734038503945661,1.0
one_step_governed_pva_direct,0.007748178256027293,1.0
one_step_governed_pva_direct,0.007904346861577559,1.0
one_step_governed_pva_direct,0.00792596673066231,1.0
one_step_governed_pva_direct,0.008035153979654654,1.0
one_step_governed_pva_direct,0.008094965096355308,1.0
one_step_governed_pva_direct,0.008351484632997123,1.0
one_step_governed_pva_direct,0.008546268240067956,1.0
one_step_governed_pva_direct,0.008685033670248277,1.0
one_step_governed_pva_direct,0.009102395032423239,1.0
one_step_governed_pva_direct,0.009231532818097805,1.0
one_step_governed_pva_direct,0.009614593713891497,1.0
one_step_governed_pva_direct,0.009750866667958174,1.0
one_step_governed_pva_direct,0.009855765175781673,1.0
one_step_governed_pva_direct,0.009970889837145573,1.0
one_step_governed_pva_direct,0.01016419847303817,1.0
one_step_governed_pva_direct,0.010186077836973964,1.0
one_step_governed_pva_direct,0.010229722796686111,1.0
one_step_governed_pva_direct,0.01045470728448508,1.0
one_step_governed_pva_direct,0.010865354290915816,1.0
one_step_governed_pva_direct,0.011143753945561004,1.0
one_step_governed_pva_direct,0.011459882623351897,1.0
one_step_governed_pva_direct,0.011468382986288257,1.0
one_step_governed_pva_direct,0.011974594896337506,1.0
one_step_governed_pva_direct,0.01255655110502473,1.0
one_step_governed_pva_direct,0.01308362799966153,1.0
one_step_governed_pva_direct,0.01389793572087263,1.0
one_step_governed_pva_direct,0.014004124983869576,1.0
one_step_governed_pva_direct,0.014176236058798366,1.0
one_step_governed_pva_direct,0.014509868317636936,1.0
one_step_governed_pva_direct,0.015571270531354502,1.0
one_step_governed_pva_direct,0.0156555157687199,1.0
one_step_governed_pva_direct,0.01722278977499816,1.0
one_step_governed_pva_direct,0.01755222838974424,1.0
one_step_governed_pva_direct,0.01959647958068508,1.0
one_step_governed_pva_direct,0.021217783595407092,1.0
one_step_governed_pva_direct,0.022439762391368065,1.0
one_step_governed_pva_direct,0.024210281801025784,1.0
one_step_governed_pva_direct,0.02527106518869651,1.0
one_step_governed_pva_direct,0.026986585834658194,1.0
one_step_governed_pva_direct,0.02729196553840942,1.0
one_step_governed_pva_direct,0.03280806918175451,1.0
one_step_governed_pva_direct,0.03707320667280761,1.0
one_step_governed_pva_direct,0.045780023664101194,1.0
one_step_governed_pva_direct,0.048149530506081506,1.0
one_step_governed_pva_direct,0.05348308794524354,1.0
one_step_governed_pva_direct,0.07665201300963917,1.0
one_step_governed_pva_direct,0.08783847425001964,1.0
one_step_governed_pva_direct,0.10322390364034822,1.0
one_step_governed_pva_direct,0.10367239440831208,1.0
one_step_governed_pva_direct,0.10995640127711931,1.0
one_step_governed_pva_direct,0.11536107202410995,1.0
one_step_governed_pva_direct,0.12282715006384302,1.0
one_step_governed_pva_direct,0.14915415636350646,1.0
one_step_governed_pva_direct,0.16617646941450315,1.0
one_step_governed_pva_direct,0.18410379775674926,1.0
one_step_governed_pva_direct,0.2711380654162854,1.0
one_step_governed_pva_direct,0.28011177601810533,1.0
one_step_governed_pva_direct,0.6482704937202299,1.0
one_step_governed_pva_direct,0.9433749309517049,1.0
one_step_governed_pva_ruckig,0.0004878348889714546,1.0
one_step_governed_pva_ruckig,0.0004994305203023651,1.0
one_step_governed_pva_ruckig,0.0009052749403253776,1.0
one_step_governed_pva_ruckig,0.0011127429382728113,1.0
one_step_governed_pva_ruckig,0.001142436822900507,1.0
one_step_governed_pva_ruckig,0.0011967162285435845,1.0
one_step_governed_pva_ruckig,0.001206790094903019,1.0
one_step_governed_pva_ruckig,0.0012199834703256278,1.0
one_step_governed_pva_ruckig,0.0012410046274574777,1.0
one_step_governed_pva_ruckig,0.0012558844662567028,1.0
one_step_governed_pva_ruckig,0.0014899296048449826,1.0
one_step_governed_pva_ruckig,0.001505751523604758,1.0
one_step_governed_pva_ruckig,0.0016545398981867455,1.0
one_step_governed_pva_ruckig,0.0017641283902910625,1.0
one_step_governed_pva_ruckig,0.0018070878299314885,1.0
one_step_governed_pva_ruckig,0.0018099689682389156,1.0
one_step_governed_pva_ruckig,0.0018247422696706882,1.0
one_step_governed_pva_ruckig,0.0019214377557005057,1.0
one_step_governed_pva_ruckig,0.002014000579989977,1.0
one_step_governed_pva_ruckig,0.0021593787477074957,1.0
one_step_governed_pva_ruckig,0.002159463243967494,1.0
one_step_governed_pva_ruckig,0.0021665669215294495,1.0
one_step_governed_pva_ruckig,0.0023458912124388245,1.0
one_step_governed_pva_ruckig,0.0025515922000728278,1.0
