plant,method,position_rmse
servo_b16_z1_d0,hybrid,0.012308411128612213
servo_b16_z1_d0,hybrid,0.016036202516562837
servo_b16_z1_d0,hybrid,0.018887857250203078
servo_b16_z1_d0,hybrid,0.0291178467371262
servo_b16_z1_d0,hybrid,0.03185507169940928
servo_b16_z1_d0,hybrid,0.034126116871979806
servo_b16_z1_d0,hybrid,0.053042218647630375
servo_b16_z1_d0,hybrid,0.06796273770005849
servo_b16_z1_d0,hybrid,0.11407458414392752
servo_b16_z1_d0,hybrid,0.11637169886022497
servo_b16_z1_d0,hybrid,0.7695191967125671
servo_b16_z1_d0,hybrid,1.167163242132628
servo_b16_z1_d0,hybrid,1.567818806592037
servo_b16_z1_d0,hybrid,1.835930998863199
servo_b16_z1_d0,hybrid,2.050299742761993
servo_b16_z1_d0,hybrid,2.316957059875851
servo_b16_z1_d0,hybrid,3.1416394861723744
servo_b16_z1_d0,hybrid,4.1275963643553775
servo_b16_z1_d0,hybrid,4.546177071731288
servo_b16_z1_d0,hybrid,5.55597362750128
servo_b16_z1_d0,hybrid,7.897356201339103
servo_b16_z1_d0,measured,0.005377785729688851
servo_b16_z1_d0,measured,0.007383856512685041
servo_b16_z1_d0,measured,0.009537609704732159
servo_b16_z1_d0,measured,0.011221412493652454
servo_b16_z1_d0,measured,0.016073676319101372
servo_b16_z1_d0,measured,0.01883937411926244
servo_b16_z1_d0,measured,0.028885596188482993
servo_b16_z1_d0,measured,0.03198137254637112
servo_b16_z1_d0,measured,0.0341538835055873
servo_b16_z1_d0,measured,0.053041954080230505
servo_b16_z1_d0,measured,0.06796311208115602
servo_b16_z1_d0,measured,0.11415826041927242
servo_b16_z1_d0,measured,0.11612899843663763
servo_b16_z1_d0,measured,0.768794362595594
servo_b16_z1_d0,measured,1.1698500810232355
servo_b16_z1_d0,measured,1.5677981130786964
servo_b16_z1_d0,measured,1.8359454099622554
servo_b16_z1_d0,measured,2.051218546265114
servo_b16_z1_d0,measured,2.3169787134112068
servo_b16_z1_d0,measured,3.141588971450587
servo_b16_z1_d0,measured,4.096162113999757
servo_b16_z1_d0,measured,4.546195564431955
servo_b16_z1_d0,measured,5.555699265716859
servo_b16_z1_d0,measured,7.901086953043958
servo_b16_z1_d0,previous_command,0.0021106420998387083
servo_b16_z1_d0,previous_command,0.0023800133729849635
servo_b16_z1_d0,previous_command,0.002415318533371415
servo_b16_z1_d0,previous_command,0.0026408655946357335
servo_b16_z1_d0,previous_command,0.003949048521611949
servo_b16_z1_d0,previous_command,0.004559329370269113
servo_b16_z1_d0,previous_command,0.005281321217890216
servo_b16_z1_d0,previous_command,0.005405917278431314
servo_b16_z1_d0,previous_command,0.006028424873723536
servo_b16_z1_d0,previous_command,0.008416179131154389
servo_b16_z1_d0,previous_command,0.008685535871523356
servo_b16_z1_d0,previous_command,0.009050113332661298
