method,estimator_p_rmse,posterior_lag_s,estimator_p99_us
ca_kf_s0.0001_q1000,1.450770196265266e-05,0.0,32.46852999999998
ca_kf_s0.0001_q1000,1.4880134719677413e-06,0.0,40.4254
ca_kf_s0.0001_q1000,1.5465878713860625e-06,0.0,31.504370000000005
ca_kf_s0.0001_q1000,1.5910914822892154e-07,0.0,40.19499999999999
ca_kf_s0.0001_q1000,1.6619664170038773e-06,0.0,32.84518
ca_kf_s0.0001_q1000,1.7081358146513382e-06,0.0,32.63875
ca_kf_s0.0001_q1000,1.9622292859947426e-06,0.0,31.08739999999999
ca_kf_s0.0001_q1000,2.014589017681665e-07,0.0,31.96064
ca_kf_s0.0001_q1000,2.0272937621191221e-07,0.0,33.12049999999999
ca_kf_s0.0001_q1000,2.0276459960408146e-06,0.0,32.16521
ca_kf_s0.0001_q1000,2.1070219052800995e-06,0.0,31.1455
ca_kf_s0.0001_q1000,2.1253618649845654e-06,0.0,31.140239999999967
ca_kf_s0.0001_q1000,2.3282700601235402e-07,0.0,32.402570000000004
ca_kf_s0.0001_q1000,2.574831214534018e-06,0.0,40.435120000000005
ca_kf_s0.0001_q1000,2.6865089120449475e-06,0.0,31.928519999999995
ca_kf_s0.0001_q1000,2.7281596569965525e-07,0.0,31.457920000000016
ca_kf_s0.0001_q1000,2.8584407111931096e-07,0.0,33.26018000000002
ca_kf_s0.0001_q1000,2.930905703034495e-07,0.0,33.66848
ca_kf_s0.0001_q1000,3.2673117037921743e-06,0.0,31.61458000000001
ca_kf_s0.0001_q1000,3.278843406416739e-07,0.0,33.05600000000002
